Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
"Camacho, Gina",57195318214,2,"Computer Science
Social Sciences
",0000-0003-2889-8652
"Cortés-García, Salvador",58101768000,1,"Computer Science
",
"Aguirre-Fierro, Renata",57486923500,1,"Social Sciences
Arts and Humanities
Medicine
",
"Ruiz, Soraya",54682287200,1,"Chemistry
Biochemistry, Genetics and Molecular Biology
",
"Astudillo, Xavier",57200579716,1,"Medicine
",
"Gordillo, F.",35229066100,1,"Engineering
",
"Villarroel Dávila, Paola Carina",57226115134,1,"Business, Management and Accounting
Social Sciences
",
"Gavilanes Cueva, Yadira Patricia",57208052211,1,"Medicine
Social Sciences
",
"Cabrera, Rodrigo Xavier L.",57699485700,1,"Agricultural and Biological Sciences
",
"Freire, Daniela Aguilar",57203529174,1,"Social Sciences
",
"Febre, Luis",57818002000,1,"Computer Science
",
"Valle, Darwin",57222362492,1,"Multidisciplinary
",
"Quezada Loaiza, Enith",57213840787,1,"Business, Management and Accounting
Decision Sciences
",
"Granda-Viñan, Paola",58103176800,1,"Social Sciences
Engineering
",
"Suquilanda, Joselyn",57222226789,1,"Computer Science
",
"Sotomayor, Santiago",57195380854,1,"Environmental Science
Pharmacology, Toxicology and Pharmaceutics
",
"Toledo, Zorayda",56609170800,6,"Veterinary
Agricultural and Biological Sciences
Medicine
",
"Di Michele, Pierina D’Elia",58114350800,2,"Computer Science
Decision Sciences
",
"Orellana, Diego Fernando Pinto",57552835400,1,"Computer Science
Engineering
Social Sciences
",
"Daza, Edgar",57215487833,1,"Computer Science
",
"Cueva, Ruth",57196391152,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
",
"Villafuerte-Escudero, Dayanara",57195330303,2,"Computer Science
",
"Tene, Vicente",16067391100,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Cueva, Fredy",57474434300,1,"Engineering
",
"Espinosa, Gabriela",57344062300,1,"Social Sciences
Arts and Humanities
",
"Fuentes, Carlos Arturo San Andrés",57991676700,1,"Computer Science
",
"Bustamante, M.",57191529442,1,"Agricultural and Biological Sciences
Environmental Science
",
"Moreno, Santiago Ochoa",55908192900,1,"Environmental Science
Social Sciences
",
"Ochoa, Fabian",54893840900,1,"Computer Science
",
"Puchaicela Huaca, Carmen G.",57203506066,1,"Social Sciences
Arts and Humanities
",
"Gaibor-Monar, Fabián Mauricio",57192097229,1,"Engineering
Computer Science
",0000-0003-0304-0799
"Dávila, Fátima",57273287500,2,"Computer Science
Decision Sciences
",
"Marín, María Gabriela Álvarez",57210915484,2,"Medicine
",
"Matapuncho-Davila, Elvira",58103435100,1,"Social Sciences
Engineering
",
"Obregón, D.",57217370834,1,"Physics and Astronomy
Materials Science
Engineering
Mathematics
Computer Science
",
"Yaguana, Roddy",57205200747,1,"Computer Science
",
"Quezada-Ríos, Noelia",57195469870,1,"Agricultural and Biological Sciences
",
"Ordó Ñez-Delgado, Leonardo",57316724700,1,"Multidisciplinary
",
"Flores, Claudia Cartuche",57453816800,1,"Arts and Humanities
Social Sciences
",
"Cabrera, Karina S.",57197818040,1,"Business, Management and Accounting
Decision Sciences
",
"Sánchez-Rodríguez, Aminael",23991682900,57,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
Environmental Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Computer Science
Social Sciences
Multidisciplinary
Chemical Engineering
Chemistry
Neuroscience
",0000-0002-9269-0621
"Marcillo, Freddy",55791419600,6,"Physics and Astronomy
Materials Science
Computer Science
Engineering
Chemistry
",
"Eduarte Saltos, Ronald",57447723800,1,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Medicine
",
"Maza, Carmen",57195319520,1,"Computer Science
",
"Székely, Diana",55884900500,27,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
Multidisciplinary
Medicine
Earth and Planetary Sciences
Neuroscience
",0000-0002-3786-3729
"Jaramillo, David S.",57875786200,1,"Computer Science
Social Sciences
",
"Astudillo Aguillar, Diana",57201915611,1,"Social Sciences
Earth and Planetary Sciences
",
"Rivera, Jonathan Xavier",57221930355,1,"Agricultural and Biological Sciences
Environmental Science
",
"Cadmen, Noemi",57441259400,1,"Chemistry
Chemical Engineering
",
"Torres-Zambrano, Jhonatan",57195329788,1,"Computer Science
",
"Andrade, Paola",57658870400,1,"Social Sciences
",
"Zuniga, Jose",57207033029,1,"Physics and Astronomy
Energy
Engineering
Mathematics
Computer Science
",
"Sanchez, Juan C.",56453749400,1,"Engineering
Physics and Astronomy
Computer Science
",
"Ríos-Castillo, Luis Eduardo",57215550333,3,"Computer Science
Social Sciences
",
"Samaniego-Romero, Jimmy",57216492610,1,"Medicine
",
"Valdiviezo-Diaz, Priscila",36186316400,39,"Computer Science
Mathematics
Engineering
Social Sciences
Decision Sciences
Materials Science
Medicine
",0000-0002-5216-8820
"Vivanco, Ana Gabriela Ojeda",57988046700,1,"Engineering
Social Sciences
Computer Science
",
"Gonzaga-Vallejo, Clara",57337090000,2,"Social Sciences
Business, Management and Accounting
Computer Science
Environmental Science
",
"Gutiérrez, Nathali",57327396800,1,"Computer Science
",
"Freddy, Villavicencio",57210264264,1,"Computer Science
",
"Ramírez, Ramiro Leonardo C.",57209074718,2,"Computer Science
",
"Macías, Pascual García",57196186778,1,"Social Sciences
Energy
Environmental Science
Engineering
Mathematics
Computer Science
",
"Escobar, Jairo",56609855200,1,"Physics and Astronomy
",
"Naranjo, Carlos",57207597201,6,"Agricultural and Biological Sciences
Environmental Science
",0000-0001-6550-6211
"Morocho-Yunga, Juan Carlos",57202333787,2,"Computer Science
Engineering
Social Sciences
",
"Camacho, Sandra Cuenca",56692429600,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Alvaradonleon, Karla Elizabeth",57218385785,1,"Computer Science
",
"Serrano-Tamay, Fernando Javier",57218120577,3,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Diana, Valdivieso Burneo",57274019800,3,"Computer Science
",
"Bertha, Ludeña",57214993790,1,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Alex, Brito Sánchez",57817333800,1,"Computer Science
",
"Carrión, Danny",57356171400,1,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Jaramillo, Renzo",57205202753,1,"Computer Science
",
"Morocho Cuenca, Ramiro",57201899499,1,"Social Sciences
Earth and Planetary Sciences
",
"Carrión, Paulo",57844649100,1,"Social Sciences
",
"Valverde-Jaramillo, Jackson Guillermo",57195319975,2,"Business, Management and Accounting
Computer Science
Decision Sciences
",
"Iñiguez-Gallardo, Verónica",57191526119,6,"Environmental Science
Computer Science
Energy
Social Sciences
Agricultural and Biological Sciences
Psychology
Arts and Humanities
",
"Coronel, Yorky",57887862200,1,"Physics and Astronomy
Materials Science
",
"Puchaicela, Daniel",57237699900,1,"Earth and Planetary Sciences
",
"Acosta Aide, Santiago",57713414400,1,"Computer Science
Social Sciences
",
"Eras, Leonardo",57211076834,1,"Earth and Planetary Sciences
Materials Science
",
"Pulido, Félix González",58114439200,2,"Computer Science
Decision Sciences
",
"Serrano-Agila, Richard",57219718433,1,"Environmental Science
Earth and Planetary Sciences
",
"Andrade, José Miguel",57193379338,7,"Pharmacology, Toxicology and Pharmaceutics
Chemistry
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Multidisciplinary
Medicine
",
"Cueva-Agila, Anabel",57202277592,1,"Agricultural and Biological Sciences
",0000-0001-5293-6095
"Solano-Cueva, Natalí",57194210012,1,"Chemistry
",
"Aguilar-Hernandez, Jessica",57199697511,1,"Medicine
",
"Di Campli, Antonio",56592883300,8,"Social Sciences
Arts and Humanities
Engineering
Business, Management and Accounting
",
"Sánchez-Cevallos, Estefanía",57192108666,6,"Computer Science
Business, Management and Accounting
Decision Sciences
Engineering
",
"Aguirre, Galo Blacio",57386841400,1,"Social Sciences
",
"Cuenca-Jiménez, Maria Teresa",57866414400,1,"Engineering
Economics, Econometrics and Finance
Social Sciences
Mathematics
Decision Sciences
Computer Science
",
"Olivos, Katia",41461689800,1,"Physics and Astronomy
Mathematics
",
"Ponce, Mauricio Patricio Artieda",57219353752,1,"Computer Science
",
"Romero, Luis Miguel",55933337100,1,"Social Sciences
Arts and Humanities
",
"Espinoza, Lupe Carolina",57198450764,16,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Chemistry
Materials Science
Medicine
Chemical Engineering
Agricultural and Biological Sciences
Immunology and Microbiology
Environmental Science
Engineering
Computer Science
Neuroscience
",
"Manrique, John",57218589530,1,"Environmental Science
Earth and Planetary Sciences
",
"Fernández, Jimmy",57208031717,1,"Veterinary
",
"Ramón-Jaramillo, Lizeth N.",57194351201,2,"Social Sciences
",
"Guzman, Elizabeth",55910780400,2,"Agricultural and Biological Sciences
Environmental Science
Multidisciplinary
",
"Tituaña-Castillo, María Del Cisne",57200195059,5,"Energy
Social Sciences
Engineering
Computer Science
Mathematics
Psychology
",0000-0003-3043-8436
"Cobos, Hernán",57871629400,2,"Materials Science
Physics and Astronomy
Chemical Engineering
",
"Espinosa Iñiguez, Carlos Iván",36705961100,64,"Agricultural and Biological Sciences
Environmental Science
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Medicine
Social Sciences
Earth and Planetary Sciences
Energy
Computer Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Decision Sciences
Physics and Astronomy
Chemistry
",0000-0002-5330-4505
"Córdova-González, Jorge",57220583101,1,"Agricultural and Biological Sciences
Environmental Science
",
"Dávalos-Batallas, Viviana",57201689852,6,"Environmental Science
Medicine
Computer Science
Mathematics
Engineering
Decision Sciences
",
"Felicito, Diego",57274107800,1,"Agricultural and Biological Sciences
",
"Armijos-Lanchi, Karla Mikaela",57219360029,1,"Computer Science
",
"Vivanco, Henry",57195314029,1,"Computer Science
",
"Rosales-Acevedo, Verónica",57223681925,1,"Chemistry
Biochemistry, Genetics and Molecular Biology
",
"Ortiz, Mariana",57220892118,1,"Agricultural and Biological Sciences
Environmental Science
",
"Morillo-Velepucha, Diego",57817869100,1,"Computer Science
",
"Malla, Jorge Luis",57435715200,1,"Veterinary
",
"Romero, Alex",57218316901,1,"Agricultural and Biological Sciences
",
"Chávez, Nelson Vicente",57190672446,3,"Computer Science
",
"Ontaneda, Mercy P.",57200607486,2,"Medicine
Psychology
",0000-0002-5365-7132
"Sánchez, Gabriela",58148282600,1,"Social Sciences
",
"Flores-Maza, Paola",57218672772,1,"Chemistry
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Vélez, Marjorie",57295265300,1,"Agricultural and Biological Sciences
Environmental Science
",
"Arias, Anabel",57188662970,1,"Chemistry
Biochemistry, Genetics and Molecular Biology
",
"Guamán, María Del Carmen",57492247200,2,"Chemistry
Computer Science
Biochemistry, Genetics and Molecular Biology
",
"Santiago, Ochoa Moreno",57272284600,5,"Computer Science
",
"Bermeo, Sthéfano",34869069000,1,"Physics and Astronomy
Chemistry
",
"Eguiguren, José Eduardo",57213151086,2,"Computer Science
Mathematics
",
"Fuertes-Cevallos, Enrique Alejandro",57234975000,1,"Engineering
Arts and Humanities
Computer Science
Social Sciences
",
"Chuchuca, Nayeli",57960539200,1,"Agricultural and Biological Sciences
Environmental Science
",
"Romero-Saritama, José Miguel",57189328313,8,"Environmental Science
Agricultural and Biological Sciences
Social Sciences
Engineering
Medicine
Computer Science
",0000-0002-5100-2570
"Benito, Hector Arevalo",57820771800,1,"Arts and Humanities
",
"Vega, Nataly",57208179758,1,"Social Sciences
",
"Sotomayor, J. D.",57203881629,1,"Agricultural and Biological Sciences
Environmental Science
",
"Mónica, Ochoa Moreno",57817732200,1,"Computer Science
",
"Peñaranda, Olga",57225156483,1,"Environmental Science
",
"Villamagua, Luis",16680454400,18,"Physics and Astronomy
Materials Science
Computer Science
Mathematics
Chemistry
Arts and Humanities
Engineering
Energy
Multidisciplinary
",0000-0002-3239-8741
"Alemán, Daniel",57485010100,1,"Computer Science
Engineering
",
"Iñiguez-Armijos, Carlos",56805263600,19,"Environmental Science
Agricultural and Biological Sciences
Medicine
Multidisciplinary
Earth and Planetary Sciences
Pharmacology, Toxicology and Pharmaceutics
Energy
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Social Sciences
",0000-0002-9787-3451
"Cueva Carrión, Samanta Patricia",57202941741,3,"Computer Science
Mathematics
Engineering
",
"Torres, Claudia",57194284912,1,"Environmental Science
Medicine
",0000-0003-4243-4934
"Chavez, Miguel",47561158500,1,"Computer Science
",
"Reis, Ingrid Weingärtner",57818018600,4,"Computer Science
Arts and Humanities
Social Sciences
Engineering
Decision Sciences
",
"Matute, Yadira",57217253422,1,"Agricultural and Biological Sciences
Environmental Science
",
"Chamba, Gastón",23468753100,3,"Physics and Astronomy
Chemistry
Materials Science
Earth and Planetary Sciences
Engineering
",
"Castillo, Leydy Nathaly",58137363100,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Jimenez, David",57202949456,2,"Business, Management and Accounting
Computer Science
Decision Sciences
",
"Basurto-Ortiz, Jaime",57194003086,1,"Computer Science
",
"Salinas, Paul",57298173900,3,"Environmental Science
Agricultural and Biological Sciences
Computer Science
Energy
Social Sciences
",
"Jiménez-Álvarez, Leticia Salomé",57204811774,13,"Agricultural and Biological Sciences
Environmental Science
Social Sciences
Computer Science
Energy
Earth and Planetary Sciences
Economics, Econometrics and Finance
",
"Andrade-Vargas, Lucy D.",57225173466,6,"Social Sciences
Energy
Environmental Science
Computer Science
Arts and Humanities
Multidisciplinary
Mathematics
",
"Castillo Alvarado, Paula Nataly",57203861149,1,"Business, Management and Accounting
Decision Sciences
",
"Moreno, Wilman Santiago Ochoa",57164579400,1,"Earth and Planetary Sciences
Environmental Science
Social Sciences
",
"Ramón, John",57903996000,2,"Chemistry
Chemical Engineering
Materials Science
Biochemistry, Genetics and Molecular Biology
Computer Science
",
"Jaramillo, Alex",57225306882,2,"Computer Science
Engineering
Social Sciences
",
"Oritz-Leon, Carlos",57817059300,1,"Computer Science
",
"Robles, Daniela Carrión",57189844985,1,"Social Sciences
Environmental Science
",
"Marín, Myriam Irlanda Arteaga",57219513954,1,"Social Sciences
Psychology
",
"Montano, Fabricio",57202940888,1,"Computer Science
",
"Eguiguren-Riofrío, María Beatriz",56974311600,5,"Social Sciences
Earth and Planetary Sciences
Environmental Science
Arts and Humanities
",0000-0003-0120-9626
"Aguilar-Campoverde, Beder Gonzalo",57190659436,4,"Computer Science
Business, Management and Accounting
Economics, Econometrics and Finance
",
"Agila, Juan Pablo Arrobo",57273024300,1,"Computer Science
",
"Cabrera, Nairoby Jackeline Pineda",57407452800,1,"Social Sciences
",
"Vintimilla, Andrea",57224243334,1,"Environmental Science
",
"Valle-Carrión, Liz Anabelle",57214881360,5,"Environmental Science
Social Sciences
Computer Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
",
"Paccha, Mayra Beatriz Ordoñes",57208189772,1,"Medicine
",
"Herrera, Reinaldo Armas",57188644078,10,"Computer Science
Mathematics
Decision Sciences
Arts and Humanities
Social Sciences
Business, Management and Accounting
Economics, Econometrics and Finance
",
"Oñate-Valdivieso, Fernando",36617848100,21,"Environmental Science
Earth and Planetary Sciences
Engineering
Agricultural and Biological Sciences
Social Sciences
Biochemistry, Genetics and Molecular Biology
Computer Science
",0000-0002-2400-0510
"Abad, Katherine",58042341500,1,"Agricultural and Biological Sciences
Earth and Planetary Sciences
Environmental Science
",
"Pineda, Cesar",57291825700,1,"Computer Science
Decision Sciences
",
"Guerrero, Emilye",58045220000,1,"Agricultural and Biological Sciences
Environmental Science
",
"Patiño, Jorge",57509232300,1,"Environmental Science
Agricultural and Biological Sciences
",
"Bravo, Yessica",55746142800,1,"Physics and Astronomy
",
"Melgar, Guissella K.",57200044947,1,"Physics and Astronomy
Materials Science
Mathematics
Engineering
Computer Science
",
"Rivera, Richard",25822866200,21,"Physics and Astronomy
Materials Science
Engineering
Computer Science
Mathematics
Chemistry
Energy
Chemical Engineering
",0000-0002-2285-1514
"Iñiguez, María",57195944277,1,"Economics, Econometrics and Finance
",
"Córdova, Carmen Raquel",57202904530,5,"Business, Management and Accounting
Computer Science
Energy
Environmental Science
Decision Sciences
Social Sciences
Psychology
",
"Sarango-Lapo, Celia Paola",36186019000,22,"Computer Science
Social Sciences
Energy
Environmental Science
Engineering
Mathematics
",
"Pascual, García Macías",57195313849,8,"Computer Science
Social Sciences
Energy
Environmental Science
Engineering
Mathematics
",
"Hidalgo-Tapia, Mariangel",58076960600,1,"Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Gonzalez, Yadira Ludena",57222705198,1,"Engineering
Social Sciences
Computer Science
",
"Guzmán, Lucía T.",56514831800,8,"Veterinary
Agricultural and Biological Sciences
Chemistry
Environmental Science
",0000-0001-6538-7208
"Durazno, Rubén Carrera",57552085700,1,"Veterinary
",
"Sarango, Danya",57211336099,1,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Chemistry
",
"Buele-Guerrero, Gustavo",58102243000,1,"Mathematics
Computer Science
",
"Sanmartin, D.",56736702500,1,"Agricultural and Biological Sciences
",
"Armijos, Diego Marín",57148304200,2,"Agricultural and Biological Sciences
Medicine
Biochemistry, Genetics and Molecular Biology
",
"Campoverde, Marianela Isabel Armijos",57476946500,1,"Social Sciences
",
"Carrillo, Washington",57218367241,2,"Agricultural and Biological Sciences
Environmental Science
",
"Enríquez, Daniel E.",57451290700,1,"Business, Management and Accounting
Social Sciences
Environmental Science
",
"Coronel-Salas, Gabriela De Las M.",55659778600,15,"Computer Science
Social Sciences
Decision Sciences
Engineering
Economics, Econometrics and Finance
Mathematics
",0000-0003-2217-600X
"Guayanay Calva, Yuliana Elizabeth",57287394900,1,"Social Sciences
Arts and Humanities
Medicine
",
"Hurtado, Segundo Benitez",58068980000,1,"Engineering
Physics and Astronomy
Energy
Computer Science
",
"Mora-Jácome, Verónica Lucia",57192101225,6,"Business, Management and Accounting
Computer Science
Decision Sciences
Engineering
",
"Lalangui, Galo",57210552952,2,"Computer Science
Mathematics
",
"Gallardo, María Verónica Iñiguez",7102471477,2,"Environmental Science
Social Sciences
Energy
",
"Diaz, E.",57197281765,1,"Engineering
",
"Chamba, Alexander",56019558500,2,"Computer Science
Engineering
Chemistry
",
"Paredes, Fabian M.",57204888732,2,"Social Sciences
",
"Guzmán, Patricio",57678578400,2,"Agricultural and Biological Sciences
Environmental Science
",
"González-Sánchez, Inés",57220084992,1,"Agricultural and Biological Sciences
Environmental Science
",
"Cabrera, Ronny",57283243100,3,"Computer Science
Mathematics
Engineering
Decision Sciences
Energy
Business, Management and Accounting
Social Sciences
",
"Daysi, García",57274009100,2,"Computer Science
",
"Vásquez, Cristina",57207692821,2,"Environmental Science
Agricultural and Biological Sciences
Social Sciences
Biochemistry, Genetics and Molecular Biology
",
"Contreras-Mendieta, Jairo Antonio",57202941955,4,"Computer Science
",
"Ordoñez Sotomayor, Alex",57217991994,1,"Social Sciences
",
"Alverca, Tatiana Cecibel Jiménez",57223369574,1,"Environmental Science
Medicine
",
"Marcela B, Castillo",57218660361,1,"Business, Management and Accounting
Decision Sciences
",
"Cuenca, Silvana",57215504855,1,"Computer Science
",
"Quezada, María",57147342600,1,"Computer Science
",
"Paladines-Galarza, Fanny Y.",56359019300,17,"Computer Science
Social Sciences
Engineering
Economics, Econometrics and Finance
Mathematics
Decision Sciences
",
"Yaguana, Hernán Antonio",56891572100,3,"Computer Science
Engineering
Social Sciences
",
"Chuquimarca-Carrillo, Edward",57202948336,1,"Computer Science
",
"Ortiz-Criollo, José Fernando",57209539811,1,"Business, Management and Accounting
Decision Sciences
",
"Erreyes-Dota, Alexandra",57202757098,1,"Engineering
Computer Science
",
"Morales-Iñiguez, Claudio Esteban",57615345200,1,"Computer Science
",
"Carrión, Joselin Valeria Arciniega",57223372976,1,"Environmental Science
Medicine
",
"Salinas, Melissa",57216661111,7,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Chemistry
Environmental Science
Biochemistry, Genetics and Molecular Biology
",
"Curipoma Hernández, Danny",57212064944,1,"Engineering
Computer Science
",
"Morocho, Sulay",58083530600,1,"Mathematics
Agricultural and Biological Sciences
Energy
Decision Sciences
",
"Suing, Abel",56367183900,67,"Computer Science
Social Sciences
Engineering
Decision Sciences
Arts and Humanities
Mathematics
Economics, Econometrics and Finance
Environmental Science
Energy
",0000-0002-4234-5926
"Irene-Robalino, Daniel",57552597800,1,"Computer Science
Engineering
Social Sciences
",
"Yaguache, Jenny J.",56358757700,7,"Computer Science
Engineering
Decision Sciences
",
"Rivera, Mario Román",57564817700,1,"Computer Science
Decision Sciences
",
"Vacacela Ajila, Wilmer",58162744500,1,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Medicine
",
"Malo-Montoya, Zulema",57215665438,1,"Energy
Environmental Science
Social Sciences
",
"García, Luis V.",7402429184,24,"Chemical Engineering
Chemistry
Engineering
Physics and Astronomy
Environmental Science
Materials Science
Earth and Planetary Sciences
Medicine
Energy
",
"Soto-Guerrero, Fernanda Maricela",57202376432,2,"Engineering
Computer Science
Social Sciences
Decision Sciences
",
"Hualpa-Vega, Daniel",58119859800,1,"Agricultural and Biological Sciences
Earth and Planetary Sciences
",
"Celi, Kevin",57888098000,1,"Agricultural and Biological Sciences
Veterinary
",
"Omar, Cabrera",57860718400,1,"Agricultural and Biological Sciences
Decision Sciences
Environmental Science
",
"Toro, Lisset V.",57204888998,1,"Social Sciences
",
"Arrobo-Agila, Juan Pablo",56891569100,14,"Computer Science
Social Sciences
Arts and Humanities
Decision Sciences
",0000-0002-6315-2218
"Jaramillo, Jennifer",57486591100,1,"Social Sciences
Arts and Humanities
Medicine
",
"Vasquez-Cevallos, Leonel A.",57201688101,2,"Computer Science
Medicine
Engineering
Mathematics
Health Professions
Decision Sciences
",
"Armijos-Maurad, Ana Patricia",57190661956,2,"Computer Science
",
"Herrera-Bustamante, Jose",57219793716,1,"Social Sciences
Engineering
Computer Science
Energy
Mathematics
",
"Pérez Samaniego, Santiago José",57202979341,1,"Engineering
Economics, Econometrics and Finance
Social Sciences
Mathematics
Computer Science
Decision Sciences
",
"Belen Mora Arciniegas, María",57190660862,3,"Computer Science
Engineering
Arts and Humanities
Social Sciences
",
"Ochoa M, W. Santiago",57205059117,2,"Environmental Science
Agricultural and Biological Sciences
Social Sciences
",
"Kalinhoff, Carolina",35292433100,5,"Agricultural and Biological Sciences
Environmental Science
Medicine
Immunology and Microbiology
Multidisciplinary
",0000-0003-1006-1096
"González-Rentería, Verónica E.",57326978400,3,"Computer Science
Decision Sciences
Social Sciences
",
"Loaiza, Talía",57223606431,1,"Environmental Science
Agricultural and Biological Sciences
",
"Luzuriaga, Yesenia",57207695270,1,"Environmental Science
Agricultural and Biological Sciences
",
"Bravo, Diana",57212491720,4,"Environmental Science
Engineering
Energy
Computer Science
Social Sciences
Mathematics
",
"Torres Segarra, Silvia Monserrath",57204196187,1,"Medicine
Pharmacology, Toxicology and Pharmaceutics
",
"Castillo, Katty M.",57211492602,1,"Business, Management and Accounting
Decision Sciences
",
"Mora-Romero, Katherine",57202946139,1,"Computer Science
",
"Donoso, Natalia",57115363900,7,"Environmental Science
Social Sciences
Agricultural and Biological Sciences
Energy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Medicine
Physics and Astronomy
Materials Science
Computer Science
",0000-0003-1551-8059
"Zabaleta, Luz Ivonne",57407452600,1,"Social Sciences
",
"Zárate, Belizario A.",57212375856,2,"Engineering
Earth and Planetary Sciences
Computer Science
",0000-0002-3457-0381
"Remache, Richard",57202944197,1,"Computer Science
",
"Ramón, Erika",57201793035,1,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Ordóñez Pineda, Luis",57221685364,1,"Computer Science
Social Sciences
",
"Genesis-Carolina, Torres Gonzalez",57273289300,1,"Computer Science
",
"Manjón, Idoia Portilla",57918285800,1,"Computer Science
",
"Bustamante-Granda, Byron Fernando",57192434174,6,"Computer Science
Arts and Humanities
Environmental Science
Mathematics
Psychology
Social Sciences
Medicine
",0000-0002-9308-5095
"Delgado, Diana Yessenia Calva",57192007324,1,"Medicine
",
"Montaño, Pablo Tandazo",57720583600,1,"Medicine
",
"Ramón-Jaramillo, Sandra",57192369703,2,"Computer Science
",
"Teresa, Cuenca Jiménez María",57817197400,1,"Computer Science
",
"Sanchez, Jose",57203377877,1,"Computer Science
",
"Marlon, Ramon",57195316291,1,"Computer Science
",
"García-Tinisaray, Daisy",57203040890,1,"Mathematics
",
"Vázquez, Julia Martinez",56890389900,1,"Computer Science
Social Sciences
",
"Gabriela, Coronel Salas",57818006800,1,"Computer Science
",
"Ludeña, Carlos",57218652772,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Espinosa, Franklin O.",57204888535,1,"Social Sciences
",
"Alejandro, José D.",57200132120,1,"Agricultural and Biological Sciences
Medicine
Biochemistry, Genetics and Molecular Biology
",
"Castillo, Tuesman D.",57201123411,7,"Computer Science
Mathematics
Engineering
Energy
Decision Sciences
",0000-0002-3677-7781
"González Portela, María Luján",56041220500,2,"Arts and Humanities
Social Sciences
",
"Japon, Diego",57202938730,1,"Computer Science
",
"Torres, Bryan",57202939825,1,"Computer Science
",
"Cueva, Enrique",57201584366,1,"Engineering
Computer Science
",
"Obregón Calderón, D.",57192642090,1,"Physics and Astronomy
Materials Science
Mathematics
Engineering
Computer Science
",
"Ludena-Gonzalez, Patricia",56582104400,9,"Computer Science
Engineering
Social Sciences
Mathematics
Energy
",0000-0002-8909-4837
"Campoverde, Wilson Guillermo Siguenza",57222604027,1,"Medicine
",
"Encalada, Luz",57971994500,1,"Social Sciences
Engineering
",
"Jaramillo, Katty Rohoden",56891466200,1,"Computer Science
Social Sciences
",
"Aguirre, Maria Isabel Loaiza",57987941000,1,"Engineering
Computer Science
Social Sciences
",
"Calvopiña, Karyna",57283071800,1,"Agricultural and Biological Sciences
Environmental Science
",
"Correa-Conza, Magdaly",57226713712,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Vega-Saritama, César Xavier",57967427700,1,"Arts and Humanities
",
"Paguay, Mario",57212409114,2,"Energy
Environmental Science
Chemistry
Social Sciences
Biochemistry, Genetics and Molecular Biology
",
"Cartuche, L.",55652699800,36,"Pharmacology, Toxicology and Pharmaceutics
Chemistry
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
Environmental Science
Immunology and Microbiology
Chemical Engineering
Multidisciplinary
Engineering
Physics and Astronomy
Materials Science
",0000-0001-7227-4092
"MacAs, Edwin",57207033078,1,"Physics and Astronomy
Energy
Engineering
Mathematics
Computer Science
",
"Filipczyková, Eva",57193311501,2,"Agricultural and Biological Sciences
Environmental Science
",
"Espinosa-Quezada, María Gabriela",56974536900,2,"Social Sciences
Environmental Science
Earth and Planetary Sciences
",
"Cabrera-Bejarano, Andrea",58161358400,1,"Nursing
",
"Torres-Díaz, Juan Carlos",57218385944,4,"Computer Science
Energy
Social Sciences
Environmental Science
",
"Cueva, Omar A.",57874957500,1,"Computer Science
Social Sciences
",
"Bustamante, Diego",57292056600,1,"Decision Sciences
Computer Science
",
"Reyes Toro, María Lorena",57213836070,1,"Business, Management and Accounting
Decision Sciences
",
